,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
139,BEL,50.3991,4.46517,307.53,276.01,0.46,0.39,2022-09-01,209,1.95,N
140,BEL,50.47185,3.99127,303.39,286.43,0.44,0.39,2022-09-01,209,1.46,N
141,BEL,50.57259,5.37016,302.6,286.61,0.48,0.4,2022-09-01,209,1.28,N
142,BEL,50.76616,5.67041,312.58,286.96,0.49,0.4,2022-09-01,209,1.36,N
143,BEL,51.17279,3.80713,302.17,280.52,0.43,0.38,2022-09-01,209,1.05,N
144,BEL,50.39938,4.46879,333.76,295.44,0.54,0.42,2022-09-01,1155,7.37,D
145,BEL,50.99751,3.78235,330.18,296.05,0.55,0.43,2022-09-01,1155,1.46,D
146,BEL,51.02218,3.83692,331.96,297.01,0.55,0.43,2022-09-01,1155,1.47,D
147,BEL,51.06585,3.58277,331.25,295.78,0.56,0.43,2022-09-01,1155,8.29,D
148,BEL,51.06604,3.5815,342.48,295.99,0.56,0.43,2022-09-01,1155,8.09,D
149,BEL,51.16471,3.81528,334.81,301.36,0.55,0.42,2022-09-01,1155,8.46,D
150,BEL,51.16676,3.80576,332.47,301.47,0.55,0.43,2022-09-01,1155,8.46,D
151,BEL,51.17213,3.81112,347.59,304.42,0.55,0.42,2022-09-01,1155,14.21,D
152,BEL,51.1738,3.81857,331.9,296.49,0.55,0.42,2022-09-01,1155,3.82,D
153,BEL,51.46371,4.75733,333.64,298.32,0.5,0.41,2022-09-01,1155,1.98,D
154,BEL,51.17217,3.80686,338.47,281.59,0.4,0.37,2022-12-01,202,15.75,N
155,BEL,51.16421,3.81752,356.46,280.25,0.45,0.63,2022-12-01,1329,9.64,D
156,BEL,51.16996,3.81075,336.91,282.66,0.45,0.63,2022-12-01,1329,9.93,D
157,BEL,51.1758,3.81061,336.96,282.97,0.45,0.63,2022-12-01,1329,5.7,D
158,BGR,42.07726,26.75727,329.4,287.2,0.45,0.39,2020-03-01,1048,2.6,D
159,BGR,42.34906,26.23134,328.7,292.4,0.46,0.39,2020-03-01,1048,3.1,D
160,BGR,42.381,26.31921,336.6,292.6,0.46,0.39,2020-03-01,1048,9.5,D
161,BGR,42.71362,24.17334,342.3,290.3,0.55,0.43,2020-03-01,1048,10.0,D
162,BGR,42.77734,23.49101,327.5,282.6,0.39,0.44,2020-03-01,1048,1.7,D
163,BGR,43.28393,25.23148,332.0,274.2,0.49,0.4,2020-03-01,1048,3.6,D
164,BGR,43.64529,24.05941,346.9,285.4,0.53,0.42,2020-03-01,1048,11.8,D
165,BGR,42.71523,24.17279,338.8,283.9,0.52,0.41,2020-06-01,42,8.8,N
166,BGR,43.83269,22.40406,313.4,279.4,0.43,0.38,2020-06-01,42,1.1,N
167,BGR,42.71191,24.17555,346.8,289.3,0.36,0.58,2020-06-01,1024,4.7,D
168,BGR,42.29025,23.87563,306.2,286.2,0.39,0.36,2020-09-01,12,0.6,N
169,BGR,42.59132,23.10501,298.7,288.4,0.4,0.37,2020-09-01,12,0.4,N
170,BGR,42.65638,24.81404,312.5,294.3,0.38,0.36,2020-09-01,12,1.7,N
171,BGR,42.71611,24.17493,327.7,291.8,0.39,0.36,2020-09-01,12,2.1,N
172,BGR,42.71682,24.17026,311.6,291.0,0.39,0.36,2020-09-01,12,2.2,N
173,BGR,43.23427,27.59528,310.3,292.3,0.41,0.37,2020-09-01,12,1.0,N
174,BGR,42.08205,25.8378,336.8,308.6,0.64,0.72,2020-09-01,1000,7.9,D
175,BGR,42.79288,27.20089,340.3,300.8,0.52,0.67,2020-09-01,1000,4.9,D
176,BGR,42.79308,27.19944,345.9,301.6,0.52,0.67,2020-09-01,1000,4.9,D
177,BGR,43.26002,24.227,355.1,303.3,0.69,0.75,2020-09-01,1000,25.6,D
178,BGR,43.26291,24.23545,333.4,299.9,0.69,0.75,2020-09-01,1000,13.5,D
179,BGR,43.26633,24.22319,330.6,299.9,0.69,0.75,2020-09-01,1000,5.3,D
180,BGR,43.65965,24.67479,340.0,303.1,0.64,0.72,2020-09-01,1000,10.7,D
181,BGR,43.66209,24.68206,352.0,302.4,0.64,0.72,2020-09-01,1000,10.7,D
182,BGR,42.42839,25.0834,337.4,307.9,0.41,0.45,2020-09-01,1136,4.2,D
183,BGR,42.4817,24.50682,346.2,316.7,0.38,0.44,2020-09-01,1136,9.6,D
184,BGR,42.48568,24.50587,367.0,317.0,0.38,0.44,2020-09-01,1136,9.6,D
185,BGR,42.51982,24.20941,338.9,312.3,0.56,0.43,2020-09-01,1136,5.4,D
186,BGR,42.78968,27.19589,350.0,308.7,0.52,0.5,2020-09-01,1136,11.9,D
187,BGR,42.95457,25.27966,341.6,311.1,0.42,0.45,2020-09-01,1136,4.8,D
188,BGR,42.95504,25.28503,339.1,310.7,0.42,0.45,2020-09-01,1136,4.8,D
189,BGR,43.01159,26.48752,340.9,311.0,0.49,0.48,2020-09-01,1136,5.6,D
190,BGR,43.01288,26.48253,340.9,309.6,0.49,0.48,2020-09-01,1136,7.1,D
191,BGR,43.01337,26.48867,340.8,309.2,0.49,0.48,2020-09-01,1136,6.4,D
192,BGR,43.20507,23.82658,334.4,305.8,0.55,0.43,2020-09-01,1136,5.2,D
193,BGR,43.20885,23.82512,341.0,308.6,0.55,0.43,2020-09-01,1136,19.9,D
194,BGR,43.20894,23.82553,342.7,308.7,0.55,0.43,2020-09-01,1136,5.2,D
195,BGR,43.2095,23.83179,349.4,312.2,0.55,0.43,2020-09-01,1136,19.9,D
196,BGR,43.20961,23.83219,349.6,312.5,0.55,0.43,2020-09-01,1136,16.6,D
197,BGR,43.21014,23.83847,334.7,305.1,0.55,0.43,2020-09-01,1136,8.8,D
198,BGR,43.21029,23.83886,335.0,304.7,0.55,0.43,2020-09-01,1136,16.6,D
199,BGR,43.21273,23.82415,346.4,311.0,0.55,0.43,2020-09-01,1136,19.9,D
200,BGR,43.21281,23.82456,347.4,311.6,0.55,0.43,2020-09-01,1136,22.5,D
201,BGR,43.21338,23.83081,346.8,308.1,0.55,0.43,2020-09-01,1136,19.9,D
202,BGR,43.21349,23.83122,347.1,308.2,0.55,0.43,2020-09-01,1136,20.5,D
203,BGR,43.26666,24.2242,367.0,309.1,0.57,0.43,2020-09-01,1136,7.5,D
204,BGR,43.2673,24.2311,335.4,307.5,0.57,0.43,2020-09-01,1136,7.5,D
205,BGR,43.654,24.68469,337.9,311.7,0.4,0.45,2020-09-01,1136,3.6,D
206,BGR,43.73181,24.89962,339.9,313.8,0.41,0.45,2020-09-01,1136,4.9,D
207,BGR,41.8468,26.34037,329.6,290.7,0.43,0.38,2020-09-01,2354,4.5,N
208,BGR,42.06306,24.81333,302.6,292.5,0.48,0.4,2020-09-01,2354,1.3,N
209,BGR,42.29681,24.24179,300.6,290.2,0.51,0.41,2020-09-01,2354,0.7,N
